Date,County,Item Description,Sale (Dollars)
06/14/2018,POLK,99 Apples,35.07
06/15/2018,POLK,99 Apples,23.38
06/19/2018,POLK,99 Apples,23.38
07/05/2018,POLK,99 Apples,35.07
07/05/2018,POLK,99 Apples,35.07
07/11/2018,POLK,99 Apples,23.38
07/12/2018,POLK,99 Apples,23.38
07/12/2018,POLK,99 Apples,23.38
07/18/2018,POLK,99 Apples,140.28
07/19/2018,POLK,99 Apples,140.28
07/19/2018,POLK,99 Apples,11.69
07/31/2018,POLK,99 Apples,140.28
08/06/2018,POLK,99 Apples,23.38
08/09/2018,POLK,99 Apples,35.07
08/17/2018,POLK,99 Apples,35.07
08/17/2018,POLK,99 Apples,23.38
08/29/2018,POLK,99 Apples,23.38
09/06/2018,POLK,99 Apples,140.28
09/07/2018,POLK,99 Apples,23.38
09/13/2018,POLK,99 Apples,35.07
09/20/2018,POLK,99 Apples,11.69
09/21/2018,POLK,99 Apples,11.69
09/25/2018,POLK,99 Apples,23.38
09/27/2018,POLK,99 Apples,35.07
10/04/2018,POLK,99 Apples,35.07
10/11/2018,POLK,99 Apples,23.38
10/15/2018,POLK,99 Apples,23.38
10/15/2018,POLK,99 Apples,11.69
10/22/2018,POLK,99 Apples,11.69
10/23/2018,POLK,99 Apples,140.28
10/25/2018,POLK,99 Apples,23.38
10/25/2018,POLK,99 Apples,35.07
10/25/2018,POLK,99 Apples,23.38
10/29/2018,POLK,99 Apples,11.69
10/30/2018,POLK,99 Apples,23.38
11/01/2018,POLK,99 Apples,46.76
11/01/2018,POLK,99 Apples,23.38
11/01/2018,POLK,99 Apples,46.76
11/07/2018,POLK,99 Apples,140.28
11/09/2018,POLK,99 Apples,23.38
11/15/2018,POLK,99 Apples,46.76
11/19/2018,POLK,99 Apples,23.38
11/19/2018,POLK,99 Apples,140.28
11/21/2018,POLK,99 Apples,35.07
11/26/2018,POLK,99 Apples,35.07
11/29/2018,POLK,99 Apples,140.28
11/29/2018,POLK,99 Apples,58.45
11/29/2018,POLK,99 Apples,140.28
11/29/2018,POLK,99 Apples,23.38
12/13/2018,POLK,99 Apples,23.38
12/13/2018,POLK,99 Apples,23.38
12/19/2018,POLK,99 Apples,35.07
12/20/2018,POLK,99 Apples,11.69
12/26/2018,POLK,99 Apples,23.38
12/28/2018,POLK,99 Apples,35.07
01/02/2019,POLK,99 Apples,140.28
01/03/2019,POLK,99 Apples,46.76
01/04/2019,POLK,99 Apples,58.45
01/10/2019,POLK,99 Apples,140.28
01/17/2019,POLK,99 Apples,35.07
01/22/2019,POLK,99 Apples,11.69
01/22/2019,POLK,99 Apples,35.07
01/22/2019,POLK,99 Apples,140.28
01/24/2019,POLK,99 Apples,35.07
01/29/2019,POLK,99 Apples,140.28
02/07/2019,POLK,99 Apples,140.28
02/07/2019,POLK,99 Apples,11.69
02/14/2019,POLK,99 Apples,23.38
02/14/2019,POLK,99 Apples,35.07
02/18/2019,POLK,99 Apples,23.38
02/18/2019,POLK,99 Apples,11.69
02/21/2019,POLK,99 Apples,11.69
02/26/2019,POLK,99 Apples,140.28
03/04/2019,POLK,99 Apples,23.38
03/07/2019,POLK,99 Apples,58.45
03/08/2019,POLK,99 Apples,11.69
03/11/2019,POLK,99 Apples,23.38
03/25/2019,POLK,99 Apples,11.69
03/28/2019,POLK,99 Apples,70.14
04/04/2019,POLK,99 Apples,46.76
04/10/2019,POLK,99 Apples,46.76
04/10/2019,POLK,99 Apples,46.76
04/11/2019,POLK,99 Apples,35.07
04/13/2019,POLK,99 Apples,11.69
04/25/2019,POLK,99 Apples,46.76
05/09/2019,POLK,99 Apples,46.76
05/16/2019,POLK,99 Apples,23.38
05/22/2019,POLK,99 Apples,140.28
05/31/2019,POLK,99 Apples,35.07
05/31/2019,POLK,99 Apples,70.14
06/03/2019,POLK,99 Apples,46.76
06/03/2019,POLK,99 Apples,35.07
06/06/2019,POLK,99 Apples,23.38
06/10/2019,POLK,99 Apples,46.76
06/13/2019,POLK,99 Apples,140.28
06/13/2019,POLK,99 Apples,35.07
06/13/2019,POLK,99 Apples,35.07
06/17/2019,POLK,99 Apples,35.07
06/19/2019,POLK,99 Apples,23.38
06/21/2019,POLK,99 Apples,70.14
06/24/2019,POLK,99 Apples,11.69
06/24/2019,POLK,99 Apples,11.69
06/27/2019,POLK,99 Apples,46.76
06/28/2019,POLK,99 Apples,23.38
07/05/2019,POLK,99 Apples,35.07
07/05/2019,POLK,99 Apples,35.07
07/08/2019,POLK,99 Apples,70.14
07/12/2019,POLK,99 Apples,140.28
07/12/2019,POLK,99 Apples,11.69
07/18/2019,POLK,99 Apples,35.07
07/19/2019,POLK,99 Apples,11.69
07/22/2019,POLK,99 Apples,140.28
07/26/2019,POLK,99 Apples,46.76
08/09/2019,POLK,99 Apples,23.38
08/13/2019,POLK,99 Apples,11.69
08/14/2019,POLK,99 Apples,46.76
08/21/2019,POLK,99 Apples,23.38
08/22/2019,POLK,99 Apples,23.38
08/22/2019,POLK,99 Apples,11.69
08/26/2019,POLK,99 Apples,70.14
09/04/2019,POLK,99 Apples,11.69
09/05/2019,POLK,99 Apples,46.76
09/05/2019,POLK,99 Apples,35.07
09/06/2019,POLK,99 Apples,11.69
09/13/2019,POLK,99 Apples,11.69
09/18/2019,POLK,99 Apples,23.38
09/24/2019,POLK,99 Apples,23.38
09/25/2019,POLK,99 Apples,35.07
09/26/2019,POLK,99 Apples,11.69
09/27/2019,POLK,99 Apples,11.69
10/02/2019,POLK,99 Apples,140.28
10/02/2019,POLK,99 Apples,46.76
10/04/2019,POLK,99 Apples,140.28
10/10/2019,POLK,99 Apples,140.28
10/17/2019,POLK,99 Apples,140.28
10/18/2019,POLK,99 Apples,11.69
10/28/2019,POLK,99 Apples,140.28
11/06/2019,POLK,99 Apples,67.5
11/07/2019,POLK,99 Apples,33.75
11/07/2019,POLK,99 Apples,45.0
11/08/2019,POLK,99 Apples,11.25
11/08/2019,POLK,99 Apples,33.75
11/12/2019,POLK,99 Apples,11.25
11/13/2019,POLK,99 Apples,33.75
11/14/2019,POLK,99 Apples,45.0
11/21/2019,POLK,99 Apples,22.5
11/22/2019,POLK,99 Apples,22.5
12/11/2019,POLK,99 Apples,22.5
12/13/2019,POLK,99 Apples,135.0
12/18/2019,POLK,99 Apples,67.5
12/18/2019,POLK,99 Apples,135.0
12/19/2019,POLK,99 Apples,22.5
12/28/2019,POLK,99 Apples,11.25
01/07/2020,POLK,99 Apples,45.0
01/08/2020,POLK,99 Apples,11.25
01/09/2020,POLK,99 Apples,56.25
01/14/2020,POLK,99 Apples,135.0
01/15/2020,POLK,99 Apples,135.0
01/27/2020,POLK,99 Apples,270.0
01/28/2020,POLK,99 Apples,135.0
02/10/2020,POLK,99 Apples,11.25
02/17/2020,POLK,99 Apples,11.25
02/20/2020,POLK,99 Apples,135.0
02/26/2020,POLK,99 Apples,45.0
03/05/2020,POLK,99 Apples,22.5
03/11/2020,POLK,99 Apples,33.75
03/12/2020,POLK,99 Apples,45.0
03/12/2020,POLK,99 Apples,45.0
03/12/2020,POLK,99 Apples,45.0
03/13/2020,POLK,99 Apples,22.5
03/13/2020,POLK,99 Apples,22.5
03/18/2020,POLK,99 Apples,135.0
03/18/2020,POLK,99 Apples,135.0
03/20/2020,POLK,99 Apples,22.5
03/23/2020,POLK,99 Apples,22.5
03/26/2020,POLK,99 Apples,56.25
03/27/2020,POLK,99 Apples,22.5
03/27/2020,POLK,99 Apples,33.75
04/02/2020,POLK,99 Apples,135.0
04/03/2020,POLK,99 Apples,45.0
04/08/2020,POLK,99 Apples,45.0
04/10/2020,POLK,99 Apples,22.5
04/10/2020,POLK,99 Apples,135.0
04/14/2020,POLK,99 Apples,135.0
04/16/2020,POLK,99 Apples,22.5
04/24/2020,POLK,99 Apples,33.75
04/27/2020,POLK,99 Apples,11.25
05/05/2020,POLK,99 Apples,22.5
05/06/2020,POLK,99 Apples,67.5
05/07/2020,POLK,99 Apples,56.25
05/07/2020,POLK,99 Apples,135.0
05/15/2020,POLK,99 Apples,135.0
05/15/2020,POLK,99 Apples,11.25
05/20/2020,POLK,99 Apples,135.0
05/22/2020,POLK,99 Apples,56.25
05/26/2020,POLK,99 Apples,135.0
06/03/2020,POLK,99 Apples,45.0
06/08/2020,POLK,99 Apples,135.0
06/09/2020,POLK,99 Apples,22.5
06/10/2020,POLK,99 Apples,11.25
06/10/2020,POLK,99 Apples,22.5
06/11/2020,POLK,99 Apples,33.75
06/16/2020,POLK,99 Apples,22.5
06/24/2020,POLK,99 Apples,22.5
06/29/2020,POLK,99 Apples,135.0
07/01/2020,POLK,99 Apples,67.5
07/03/2020,POLK,99 Apples,22.5
07/07/2020,POLK,99 Apples,45.0
07/10/2020,POLK,99 Apples,22.5
07/16/2020,POLK,99 Apples,45.0
07/17/2020,POLK,99 Apples,11.25
07/23/2020,POLK,99 Apples,270.0
07/24/2020,POLK,99 Apples,135.0
07/24/2020,POLK,99 Apples,11.25
07/30/2020,POLK,99 Apples,45.0
08/03/2020,POLK,99 Apples,33.75
08/07/2020,POLK,99 Apples,33.75
08/13/2020,POLK,99 Apples,45.0
08/13/2020,POLK,99 Apples,22.5
08/13/2020,POLK,99 Apples,270.0
08/21/2020,POLK,99 Apples,135.0
09/02/2020,POLK,99 Apples,67.5
09/03/2020,POLK,99 Apples,135.0
09/03/2020,POLK,99 Apples,22.5
09/04/2020,POLK,99 Apples,135.0
09/11/2020,POLK,99 Apples,135.0
09/14/2020,POLK,99 Apples,22.5
09/22/2020,POLK,99 Apples,22.5
09/24/2020,POLK,99 Apples,135.0
